Source,Additional_Lng,f6,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,D1,D2,D3,y,Location_Available,Wind_D_Calm,Wind_D_Variable,Wind_D_Sin,Wind_D_Cos,Record_Delay_Time,is_holiday,has_sensitive_word,Address_Freq,Address_Mean
1,0.20725016,2.0918415,0.19269957,0.56004494,-0.10587281,-0.6422932,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-1.077085,-1.0574068,-0.33389494,0,0,1.4555094,-0.41561773
1,-1.5460187,-0.67304987,0.9417139,1.2429166,-1.5993218,-0.6422932,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0.055601574,0.114938535,-0.20095107,0,0,0.9018813,-0.83479995
2,0.79013467,-0.687551,1.2501316,0.40829572,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0.055601574,0.114938535,0.0657498,0,0,0.02891047,-0.38781482
2,-0.11679216,-0.687551,1.073893,0.31345242,0.53417677,2.3006148,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1.6574624,0.114938535,0.055179346,0,1,1.6000247,1.24115
2,0.07482045,-0.687551,1.2501316,-1.6592878,-0.9592722,2.3006148,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-1.077085,-1.0574068,-0.15257089,0,0,1.041436,0.3650022
1,-1.3568722,0.5160467,1.2501316,0.6548883,-0.3065413,0.38695747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0.055601574,0.114938535,-0.40178984,0,1,0.91116697,0.44912377
2,-0.05367625,-0.63921374,-1.2172098,0.3703584,1.3449062,1.0867972,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1.1882882,-1.0574068,0.035258092,0,0,-0.7510076,1.1092645
1,1.1894703,0.78190166,1.4263703,0.1996405,0.53417677,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,-1.4243248,-0.5195302,-0.56319267,0,1,-0.27537587,0.5974059
2,-0.8675114,-0.687551,-0.95285183,1.5843524,0.1099798,0.31337157,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0.055601574,0.114938535,0.7016037,0,0,-1.7692647,-0.1254695
1,-0.9549776,0.027840408,-0.15977779,-2.4370027,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-1.4243248,-0.5195302,0.31171632,0,0,-1.0973084,-1.6831448
1,-1.3741834,0.9075785,1.5585493,-1.5644445,-1.5993218,0.25817445,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0.055601574,0.114938535,-0.35950798,0,0,0.56707704,0.44484642
1,0.7618887,-0.4096118,1.1179526,0.38932705,0.10747705,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-1.5462592,0.114938535,-0.13996764,0,0,1.0274266,-1.3181427
2,-0.046011653,-0.687551,0.7654753,0.9394181,0.12881203,1.5799973,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,-1.4243248,0.74940723,-0.6302744,0,0,1.0367068,-0.028515795
1,-1.5369607,-0.47728395,-1.7899855,0.42726436,1.3875762,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0.6686071,-1.4168044,0.31130975,0,0,-0.029237395,-0.66227937
